run,start,end,last_n,stop_reason,mp_threshold,cpu_info
1,"2022-01-30 13:23:12.020141 CST","2022-01-30 14:43:04.300253 CST",82,"PROCESS STOPPED BY USER",69,"{'cores': 8, 'current_freq': 2300, 'max_freq': 2300, 'min_freq': 2300, 'os': 'Darwin'}"
2,"2022-01-30 14:48:00.666234 CST","2022-01-30 15:00:55.451779 CST",82,"PROCESS STOPPED BY USER",69,"{'cores': 8, 'current_freq': 2300, 'max_freq': 2300, 'min_freq': 2300, 'os': 'Darwin'}"
3,"2022-01-30 15:01:15.415167 CST","2022-01-30 15:24:24.710150 CST",82,"PROCESS STOPPED BY USER",100,"{'cores': 8, 'current_freq': 2300, 'max_freq': 2300, 'min_freq': 2300, 'os': 'Darwin'}"
4,"2022-01-30 15:26:12.662539 CST","2022-01-30 16:06:01.069664 CST",84,"PROCESS STOPPED BY USER",100,"{'cores': 8, 'current_freq': 2300, 'max_freq': 2300, 'min_freq': 2300, 'os': 'Darwin'}"
5,"2022-01-30 16:06:28.163293 CST","2022-01-30 18:06:11.473021 CST",88,"PROCESS STOPPED BY USER",69,"{'cores': 8, 'current_freq': 2300, 'max_freq': 2300, 'min_freq': 2300, 'os': 'Darwin'}"
6,"2022-01-31 00:53:09.594712 UTC","2022-01-31 17:25:55.168197 UTC",103,"PROCESS STOPPED BY USER",69,"{'cores': 4, 'current_freq': 3.6799999999999997, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
7,"2022-01-31 17:55:30.627700 UTC","2022-01-31 17:55:36.450421 UTC",103,"PROCESS STOPPED BY USER",69,"{'cores': 4, 'current_freq': 3.492, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
8,"2022-01-31 20:08:09.121656 UTC","2022-02-01 02:05:51.681594 UTC",104,"PROCESS STOPPED BY USER",69,"{'cores': 4, 'current_freq': 3.4932499999999997, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
9,"2022-02-01 02:22:18.864040 UTC","2022-02-01 03:07:19.251084 UTC",104,"PROCESS STOPPED BY USER",69,"{'cores': 4, 'current_freq': 3.492, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
10,"2022-02-01 03:12:52.403196 UTC","2022-02-01 03:14:18.785718 UTC",104,"PROCESS STOPPED BY USER",69,"{'cores': 4, 'current_freq': 3.54475, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
11,"2022-02-01 03:28:37.516490 UTC","2022-02-01 03:30:11.227814 UTC",104,"PROCESS STOPPED BY USER",69,"{'cores': 4, 'current_freq': 3.492, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
12,"2022-02-01 03:34:11.621123 UTC","2022-02-01 03:34:13.104761 UTC",104,"PROCESS STOPPED BY USER",69,"{'cores': 4, 'current_freq': 3.492, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
13,"2022-02-01 03:34:58.871984 UTC","2022-02-01 03:36:21.071664 UTC",104,"PROCESS STOPPED BY USER",69,"{'cores': 4, 'current_freq': 3.492, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
14,"2022-02-02 06:36:29.019548 UTC","2022-02-04 21:32:26.074255 UTC",109,"PROCESS STOPPED BY USER",200,"{'cores': 4, 'current_freq': 1.4257499999999999, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
15,"2022-02-05 03:47:58.920849 UTC","2022-02-28 00:01:03.471948 UTC",128,"PROCESS STOPPED BY USER",200,"{'cores': 4, 'current_freq': 0.7995000000000001, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
16,"2022-03-01 07:00:52.665933 UTC","2022-03-01 07:01:32.933642 UTC",128,"PROCESS STOPPED BY USER",None,"{'cores': 6, 'current_freq': 3.701333333333334, 'max_freq': 3700.0, 'min_freq': 800.0, 'os': 'Linux'}"
